"","cd","CDNAME","P/T","Temp_years","napsid","SO2_years","NO2_years","O3_years","PM25U_years","PM10_years"
"1",1001,"Division No.  1","NL","1980-01-01:2019-12-31","10102, 10401, 10101","1980-01-01:2019-12-31","1990-01-18:2019-12-31","1989-04-01:2019-12-31","1998-01-01:2019-12-31",NA
"2",1005,"Division No.  5","NL","1980-01-01:2019-12-31","10201, 10301, 10602","2009-12-31:2019-12-31","2001-07-01:2019-12-31","2001-07-01:2019-12-31","2001-07-07:2019-12-31",NA
"3",1209,"Halifax","NS","1980-01-01:2019-12-31","30113, 30115, 30116, 30117, 30118, 30120, 30601, 31001, 30101, 30114","1980-01-02:2019-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","2001-06-19:2019-12-31",NA
"4",1301,"Saint John","NB","1980-01-01:2019-12-31","40202, 40203, 40204, 40206, 40207, 40209, 40501, 40208, 40201","1980-01-27:2019-12-31","1980-08-08:2019-12-31","1980-01-01:2019-12-31","1996-11-21:2019-12-31","1996-11-20:2004-05-30"
"5",1307,"Westmorland","NB","1980-01-01:2019-12-31","40302",NA,"1998-09-01:2019-12-31","1998-07-17:2019-12-31","1999-11-06:2019-12-31",NA
"6",1310,"York","NB","1980-01-01:2019-12-31","40103, 40104, 40801",NA,"1999-04-17:2019-12-31","1994-08-01:2019-12-31","1999-04-24:2019-12-31",NA
"7",2423,"Quebec","QC","1980-01-01:2019-12-31","50304, 50306, 50307, 50308, 50309, 50310, 50311, 50303, 50305","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1998-04-08:2019-12-31","1998-01-01:1998-04-06"
"8",2456,"Le Haut-Richelieu","QC","1980-01-01:2019-12-31","55301",NA,"1999-08-12:2019-12-31","1999-08-12:2019-12-31","1999-11-27:2019-12-31",NA
"9",2458,"Longueuil","QC","2005-01-01:2010-12-31","50108, 50119, 50121, 50122","1982-01-03:2019-12-31","1982-01-03:2019-12-31","1982-01-03:2019-12-31","2003-01-25:2019-12-31",NA
"10",2465,"Laval","QC","1980-01-01:2016-11-01","50111, 50112, 50113","1980-01-02:1992-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","2003-10-09:2019-12-31",NA
"11",2466,"Montreal","QC","1980-01-01:2019-12-31","50102, 50103, 50104, 50107, 50109, 50110, 50115, 50116, 50120, 50123, 50126, 50128, 50129, 50130, 50134, 50135, 50136, 50138, 50133, 50101, 50105, 50106, 50117, 50118, 50131","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1997-09-01:2019-12-31","1996-01-04:2013-12-31"
"12",2481,"Gatineau","QC","1980-01-01:2017-12-31","50203, 50204, 50201","1980-01-02:2019-12-31","1980-01-01:2019-12-31","1992-01-01:2019-12-31","2003-04-16:2019-12-31",NA
"13",3501,"Stormont, Dundas and Glengarry","ON","1980-01-01:2019-12-31","61201, 65701","1980-01-01:2002-10-09","1980-01-01:2019-12-31","1980-01-01:2019-12-31","2003-04-17:2019-12-31",NA
"14",3506,"Ottawa","ON","1980-01-01:2019-12-31","60101, 60104, 60105, 60106","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1998-01-01:2019-12-31","1992-01-01:1993-10-13"
"15",3515,"Peterborough","ON","1980-01-01:2019-12-31","61103, 61104","1980-01-01:2003-11-17","1999-01-21:2019-12-31","1993-01-06:2019-12-31","2001-02-28:2019-12-31","1998-12-02:2001-02-26"
"16",3518,"Durham","ON","1980-01-01:2019-12-31","61701, 61702, 61703","1980-01-01:2005-12-31","1980-01-01:2017-12-31","1980-01-01:2017-12-31","1997-04-19:2017-12-31",NA
"17",3519,"York","ON","1980-01-01:2019-12-31","63201, 65101","2001-06-09:2006-12-31","1983-06-09:2019-12-31","1980-01-01:2019-12-31","2001-06-19:2019-12-31","1999-01-01:2001-05-01"
"18",3520,"Toronto","ON","1980-01-01:2019-12-31","60401, 60402, 60403, 60410, 60413, 60414, 60417, 60418, 60419, 60420, 60421, 60422, 60423, 60424, 60425, 60429, 60430, 60433, 60435, 60440, 60427, 60436, 60438, 60439, 60445, 60412, 60409, 60411","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1997-01-01:2019-12-31","1996-11-19:2001-12-31"
"19",3521,"Peel","ON","1980-01-01:2013-12-31","60415, 60428, 60432, 60434, 60450","1980-01-01:2016-05-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1997-01-01:2019-12-31",NA
"20",3524,"Halton","ON","1980-01-01:2019-12-31","61601, 61602, 61603, 63001, 67001","1980-01-01:2006-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","2001-04-26:2019-12-31","1999-05-11:2001-04-23"
"21",3525,"Hamilton","ON","1980-01-01:2019-12-31","60501, 60512, 60513, 60514, 60515, 60521, 60505, 60511, 60518, 60519","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1998-01-01:2019-12-31","1996-01-01:2000-12-31"
"22",3526,"Niagara","ON","1980-01-01:2019-12-31","61301, 61302, 62901, 62902","1980-01-01:2006-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1998-01-01:2019-12-31",NA
"23",3528,"Haldimand-Norfolk","ON","1980-01-01:2016-03-17","62601, 62701","2001-01-01:2019-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1998-01-01:2019-12-31",NA
"24",3529,"Brant","ON","1980-01-01:2013-01-19","61402, 61401","1980-01-01:2006-12-31","2004-01-02:2019-12-31","2004-01-01:2019-12-31","2004-01-01:2019-12-31",NA
"25",3530,"Waterloo","ON","1980-01-01:2017-12-31","61501, 61502, 62801","1980-01-01:2006-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1998-01-01:2019-12-31",NA
"26",3537,"Essex","ON","1980-01-01:2017-12-31","60204, 60211, 65601, 60203, 60201, 60212","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1999-03-18:2019-12-31","1996-01-01:2001-12-31"
"27",3538,"Lambton","ON","1980-01-01:2019-12-31","61004, 61005, 61009, 61007, 61001","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","2000-02-17:2019-12-31","1996-06-08:2001-12-31"
"28",3539,"Middlesex","ON","1980-01-01:2019-12-31","60901, 60903, 60904, 62401, 63601, 64301","1980-01-22:2010-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","2001-01-01:2019-12-31","1996-01-01:2000-12-28"
"29",3543,"Simcoe","ON","1980-01-01:2019-12-31","63101, 64401, 65001","2001-12-01:2006-12-31","2001-12-01:2019-12-31","1981-06-27:2019-12-31","2001-12-01:2019-12-31",NA
"30",3548,"Nipissing","ON","1980-01-01:2019-12-31","62001","1989-01-01:2006-12-31","1988-01-01:2019-12-31","1989-01-01:2019-12-31","1999-09-10:2019-12-31",NA
"31",3553,"Greater Sudbury / Grand Sudbury","ON","1980-01-01:2019-12-31","60602, 60607, 60609, 60610, 63501, 60606","1980-01-01:2019-12-31","1980-01-01:2019-12-31","1980-01-01:2019-12-31","2004-06-28:2019-12-31","2014-01-01:2015-12-31"
"32",3557,"Algoma","ON","1980-01-01:2013-12-31","60706, 60707, 60709, 64101, 60704, 60705, 60708","1980-01-01:2019-12-31","1983-02-23:2019-12-31","1983-02-23:2019-12-31","2000-01-01:2019-12-31","1996-01-01:2001-12-31"
"33",3558,"Thunder Bay","ON","1980-01-01:2019-12-31","60806, 60807, 60809, 63401, 63901","1980-01-01:2003-12-31","1984-01-01:2019-12-31","1981-01-01:2019-12-31","2001-06-22:2019-12-31","2001-06-22:2001-06-25"
"34",4607,"Division No.  7","MB","1980-01-01:2019-12-31","70203, 70201, 70202",NA,"1993-12-10:2018-12-18","1987-01-02:2018-12-31","2001-06-20:2018-12-31","1997-10-08:2018-12-31"
"35",4611,"Division No. 11","MB","1980-01-01:2019-12-31","70118, 70119, 70101, 70102, 70103, 70104, 70120","1980-01-01:2018-12-31","1980-01-01:2018-12-31","1980-01-01:2018-12-31","1997-09-06:2018-12-31","1993-06-01:2018-12-31"
"36",4706,"Division No.  6","SK","1980-01-01:2019-12-31","80109, 80110, 80111, 80801, 80901, 80108","1980-02-08:2019-12-31","1980-04-15:2019-12-31","1980-01-01:2019-12-31","2001-01-01:2019-12-31","1999-01-01:2017-12-31"
"37",4711,"Division No. 11","SK","1980-01-01:2019-12-31","80209, 80211, 80202","1980-02-20:2019-12-31","1984-01-01:2019-12-31","1984-01-01:2019-12-31","2003-07-11:2019-12-31",NA
"38",4802,"Division No.  2","AB","1980-01-01:2019-12-31","90502","2004-01-02:2019-12-31","2004-01-02:2019-12-31","2004-01-02:2019-12-31","2003-10-02:2019-12-30",NA
"39",4806,"Division No.  6","AB","1980-01-01:2019-12-31","90218, 90222, 90227, 90228, 90229, 90230, 90250, 92701, 93301, 93401, 94101, 90219, 90220","1980-01-02:2019-12-31","1980-01-02:2019-12-31","1980-01-02:2019-12-31","1997-11-02:2019-12-31","1996-01-02:2012-04-16"
"40",4808,"Division No.  8","AB","1980-01-01:2019-12-31","90302, 90303, 90304, 93501, 93701","2001-01-02:2019-12-31","2000-01-02:2019-12-31","2000-01-02:2019-12-31","2001-01-03:2019-12-31","2000-01-02:2000-12-31"
"41",4810,"Division No. 10","AB","1980-01-01:2019-12-31","90606, 90609, 90901, 91101, 92201","2004-01-02:2019-12-31","1994-01-02:2019-12-31","1993-04-02:2019-12-31","2004-01-02:2019-12-31","2004-01-02:2014-12-31"
"42",4811,"Division No. 11","AB","1980-01-01:2019-12-31","90120, 90121, 90122, 90130, 90133, 90134, 90135, 90136, 90601, 90607, 90608, 91301, 91401, 92601, 93101, 90602, 90603, 90605, 92301, 93801, 94201, 94202, 90114, 90131, 90604, 90132, 92801","1980-01-02:2019-12-31","1980-01-02:2019-12-31","1980-01-02:2019-12-31","1998-04-18:2019-12-31","1994-01-02:2014-12-31"
"43",4816,"Division No. 16","AB","1980-01-01:2019-12-31","90701, 90702, 90801, 90806, 90807, 90808, 91801, 94601, 90703, 90805, 92101, 92102, 90802, 90803, 90804","1991-01-02:2019-12-31","1986-07-03:2019-12-31","1986-07-02:2019-12-31","1998-01-02:2019-12-31",NA
"44",4819,"Division No. 19","AB","1980-01-01:2019-12-31","91501, 92001, 93001, 94001","2001-01-02:2019-12-31","1998-01-02:2019-12-31","1998-01-02:2019-12-31","2004-02-02:2019-12-30",NA
"45",5909,"Fraser Valley","BC","1980-01-01:2019-12-31","100143, 101001, 101002, 101003, 101004, 101005, 101101, 101401, 103602, 105401","1998-09-19:2019-12-31","1986-01-02:2019-12-31","1982-08-02:2019-12-31","1995-06-02:2019-12-31","1994-07-20:2019-12-31"
"46",5915,"Greater Vancouver","BC","1980-01-01:2019-12-31","100103, 100106, 100108, 100109, 100110, 100111, 100112, 100118, 100119, 100120, 100121, 100122, 100123, 100124, 100125, 100126, 100127, 100128, 100129, 100130, 100131, 100132, 100134, 100135, 100140, 100141, 101201, 101202, 101301, 101501, 100105, 100136, 100137, 100138","1980-01-02:2019-12-31","1980-01-02:2019-12-31","1980-01-02:2019-12-31","1999-01-15:2019-12-31","1994-01-02:2019-12-31"
"47",5917,"Capital","BC","1980-01-01:2019-12-31","100302, 100303, 100304, 100307, 100308, 100314, 100316, 102001, 100301, 100317, 100318, 100313, 100312","1981-01-10:2019-12-31","1980-01-02:2019-12-31","1980-01-02:2019-12-31","1998-05-02:2019-12-31","2001-01-04:2013-09-16"
"48",5931,"Squamish-Lillooet","BC","1980-01-01:2019-12-31","101601, 101603, 105001","1998-01-02:2019-12-31","2003-07-05:2019-12-31","1995-07-06:2019-12-31","2005-01-02:2019-12-31","1998-01-03:2011-01-28"
"49",5933,"Thompson-Nicola","BC","1980-01-01:2019-12-31","100401, 100402","1980-02-23:2019-12-31","1998-01-03:2019-12-31","1998-01-03:2019-12-31","1998-01-02:2019-12-30","1995-01-02:2008-12-31"
"50",5935,"Central Okanagan","BC","1980-01-01:2019-12-31","100701","2001-01-03:2019-03-10","1998-01-03:2019-06-03","1987-07-02:2019-06-03","1998-01-03:2019-06-12","1995-01-02:2019-06-03"
"51",5937,"North Okanagan","BC","1980-01-01:2017-12-31","104003","2003-12-18:2013-10-29","2002-10-16:2019-12-31","2002-10-16:2019-12-31","2002-10-16:2019-12-31","2002-10-18:2019-11-21"
"52",5941,"Cariboo","BC","1980-01-01:2019-12-31","101701, 102701, 102706, 101702, 101703, 101704, 102702","2006-07-27:2019-12-31","1998-01-03:2019-12-31","1992-04-16:2019-12-31","2000-03-11:2019-12-31","1995-01-02:2019-12-31"
"53",5953,"Fraser-Fort George","BC","1980-01-01:2019-12-31","100202, 100201, 100205, 100210, 100211, 100212, 100213, 100214, 106101, 100203, 100209","2001-01-03:2019-12-31","1998-01-03:2019-12-31","1995-04-29:2019-12-31","1998-01-02:2019-12-31","1995-01-02:2019-12-31"
